zone,seq,ts,severity,detector,diagnosis,action,n_triggered,trigger_sensors
Zone-A,43,1780126951.8616698,Normal,none,All sensors within nominal operating range.,No action required.,0,
Zone-A,44,1780126951.8616772,Normal,none,All sensors within nominal operating range.,No action required.,0,
Zone-A,45,1780126951.861686,Normal,none,All sensors within nominal operating range.,No action required.,0,
Zone-A,46,1780126951.861693,Normal,none,All sensors within nominal operating range.,No action required.,0,
Zone-A,47,1780126951.8617,Normal,none,All sensors within nominal operating range.,No action required.,0,
Zone-A,48,1780126951.861707,Normal,none,All sensors within nominal operating range.,No action required.,0,
Zone-A,49,1780126951.861714,Warning,zscore,Unclassified anomaly,Review the listed sensor trip values and follow zone runbook.,1,co2
Zone-A,50,1780126951.861721,Critical,hard,Occupancy spike / ventilation insufficient,Increase fresh-air intake (raise outdoor-air damper set-point) and verify supply-fan VFD command.,2,"humidity,co2"
Zone-A,51,1780126951.86173,Normal,none,All sensors within nominal operating range.,No action required.,0,
Zone-A,52,1780126951.861737,Normal,none,All sensors within nominal operating range.,No action required.,0,
Zone-A,53,1780126951.8617442,Normal,none,All sensors within nominal operating range.,No action required.,0,
Zone-A,54,1780126951.8617492,Normal,none,All sensors within nominal operating range.,No action required.,0,
Zone-A,55,1780126951.861754,Normal,none,All sensors within nominal operating range.,No action required.,0,
Zone-A,56,1780126951.861759,Normal,none,All sensors within nominal operating range.,No action required.,0,
Zone-A,57,1780126951.8617659,Normal,none,All sensors within nominal operating range.,No action required.,0,
Zone-A,58,1780126951.861773,Normal,none,All sensors within nominal operating range.,No action required.,0,
Zone-A,59,1780126951.861781,Normal,none,All sensors within nominal operating range.,No action required.,0,
Zone-A,60,1780126951.8617878,Normal,none,All sensors within nominal operating range.,No action required.,0,
Zone-A,61,1780126951.8617952,Normal,none,All sensors within nominal operating range.,No action required.,0,
Zone-A,62,1780126951.861802,Normal,none,All sensors within nominal operating range.,No action required.,0,
Zone-A,63,1780126951.8618088,Normal,none,All sensors within nominal operating range.,No action required.,0,
Zone-A,64,1780126951.8618162,Normal,none,All sensors within nominal operating range.,No action required.,0,
Zone-A,65,1780126951.861824,Normal,none,All sensors within nominal operating range.,No action required.,0,
Zone-A,66,1780126951.861831,Normal,none,All sensors within nominal operating range.,No action required.,0,
Zone-A,67,1780126951.861838,Normal,none,All sensors within nominal operating range.,No action required.,0,
Zone-A,68,1780126951.861845,Normal,none,All sensors within nominal operating range.,No action required.,0,
Zone-A,69,1780126951.8618517,Normal,none,All sensors within nominal operating range.,No action required.,0,
Zone-A,70,1780126951.8618581,Normal,none,All sensors within nominal operating range.,No action required.,0,
Zone-A,71,1780126951.8618636,Normal,none,All sensors within nominal operating range.,No action required.,0,
Zone-A,72,1780126951.861869,Normal,none,All sensors within nominal operating range.,No action required.,0,
Zone-A,73,1780126951.8618746,Critical,hard+iforest,Possible fire / thermal event,Verify smoke and heat detectors; dispatch on-site inspection; isolate affected HVAC zone and prepare evacuation protocol if confirmed.,2,"temperature,co2"
Zone-A,74,1780126951.86188,Critical,hard+zscore+iforest,Possible fire / thermal event,Verify smoke and heat detectors; dispatch on-site inspection; isolate affected HVAC zone and prepare evacuation protocol if confirmed.,3,"power,temperature,co2"
Zone-A,75,1780126951.86189,Critical,hard+zscore+iforest,Possible fire / thermal event,Verify smoke and heat detectors; dispatch on-site inspection; isolate affected HVAC zone and prepare evacuation protocol if confirmed.,3,"power,temperature,co2"
Zone-A,76,1780126951.861899,Normal,none,All sensors within nominal operating range.,No action required.,0,
Zone-A,77,1780126951.8619058,Normal,none,All sensors within nominal operating range.,No action required.,0,
Zone-A,78,1780126951.8619142,Normal,none,All sensors within nominal operating range.,No action required.,0,
Zone-A,79,1780126951.861922,Normal,none,All sensors within nominal operating range.,No action required.,0,
Zone-A,80,1780126951.861929,Normal,none,All sensors within nominal operating range.,No action required.,0,
Zone-A,81,1780126951.861936,Normal,none,All sensors within nominal operating range.,No action required.,0,
Zone-A,82,1780126951.861943,Normal,none,All sensors within nominal operating range.,No action required.,0,
Zone-A,83,1780126951.86195,Normal,none,All sensors within nominal operating range.,No action required.,0,
Zone-A,84,1780126951.861957,Normal,none,All sensors within nominal operating range.,No action required.,0,
Zone-A,85,1780126951.861964,Normal,none,All sensors within nominal operating range.,No action required.,0,
Zone-A,86,1780126951.8619719,Normal,none,All sensors within nominal operating range.,No action required.,0,
Zone-A,87,1780126951.86198,Normal,none,All sensors within nominal operating range.,No action required.,0,
Zone-A,88,1780126951.8619854,Normal,none,All sensors within nominal operating range.,No action required.,0,
Zone-A,89,1780126951.861991,Normal,none,All sensors within nominal operating range.,No action required.,0,
Zone-A,90,1780126951.861998,Normal,none,All sensors within nominal operating range.,No action required.,0,
Zone-A,91,1780126951.862005,Normal,none,All sensors within nominal operating range.,No action required.,0,
Zone-A,92,1780126951.862012,Normal,none,All sensors within nominal operating range.,No action required.,0,
Zone-A,93,1780126951.86202,Normal,none,All sensors within nominal operating range.,No action required.,0,
Zone-A,94,1780126951.8620257,Normal,none,All sensors within nominal operating range.,No action required.,0,
Zone-A,95,1780126951.8620312,Normal,none,All sensors within nominal operating range.,No action required.,0,
Zone-A,96,1780126951.862039,Normal,none,All sensors within nominal operating range.,No action required.,0,
Zone-A,97,1780126951.862046,Normal,none,All sensors within nominal operating range.,No action required.,0,
Zone-A,98,1780126951.8620532,Normal,none,All sensors within nominal operating range.,No action required.,0,
Zone-A,99,1780126951.86206,Normal,none,All sensors within nominal operating range.,No action required.,0,
Zone-A,100,1780126951.862067,Critical,hard,Occupancy spike / ventilation insufficient,Increase fresh-air intake (raise outdoor-air damper set-point) and verify supply-fan VFD command.,2,"humidity,co2"
Zone-A,101,1780126951.8620758,Normal,none,All sensors within nominal operating range.,No action required.,0,
Zone-A,102,1780126951.862083,Normal,none,All sensors within nominal operating range.,No action required.,0,
Zone-A,103,1780126951.8620899,Normal,none,All sensors within nominal operating range.,No action required.,0,
Zone-A,104,1780126951.8620968,Normal,none,All sensors within nominal operating range.,No action required.,0,
Zone-A,105,1780126951.8621025,Normal,none,All sensors within nominal operating range.,No action required.,0,
Zone-A,106,1780126951.862108,Normal,none,All sensors within nominal operating range.,No action required.,0,
Zone-A,107,1780126951.862113,Normal,none,All sensors within nominal operating range.,No action required.,0,
Zone-A,108,1780126951.862118,Normal,none,All sensors within nominal operating range.,No action required.,0,
Zone-A,109,1780126951.862123,Warning,zscore,Temperature drift,Verify set-point compliance and inspect zone VAV box.,1,temperature
Zone-A,110,1780126951.86213,Normal,none,All sensors within nominal operating range.,No action required.,0,
Zone-A,111,1780126951.862137,Normal,none,All sensors within nominal operating range.,No action required.,0,
Zone-A,112,1780126951.862144,Normal,none,All sensors within nominal operating range.,No action required.,0,
Zone-A,113,1780126951.862151,Normal,none,All sensors within nominal operating range.,No action required.,0,
Zone-A,114,1780126951.862158,Normal,none,All sensors within nominal operating range.,No action required.,0,
Zone-A,115,1780126951.862165,Normal,none,All sensors within nominal operating range.,No action required.,0,
Zone-A,116,1780126951.862172,Normal,none,All sensors within nominal operating range.,No action required.,0,
Zone-A,117,1780126951.862178,Normal,none,All sensors within nominal operating range.,No action required.,0,
Zone-A,118,1780126951.862186,Normal,none,All sensors within nominal operating range.,No action required.,0,
Zone-A,119,1780126951.8621922,Normal,none,All sensors within nominal operating range.,No action required.,0,
Zone-A,120,1780126951.8622,Normal,none,All sensors within nominal operating range.,No action required.,0,
Zone-A,121,1780126951.862207,Normal,none,All sensors within nominal operating range.,No action required.,0,
Zone-A,122,1780126951.8622131,Normal,none,All sensors within nominal operating range.,No action required.,0,
Zone-A,123,1780126951.862221,Normal,none,All sensors within nominal operating range.,No action required.,0,
Zone-A,124,1780126951.862228,Normal,none,All sensors within nominal operating range.,No action required.,0,
Zone-A,125,1780126951.8622348,Critical,hard+iforest,Occupancy spike / ventilation insufficient,Increase fresh-air intake (raise outdoor-air damper set-point) and verify supply-fan VFD command.,2,"humidity,co2"
Zone-A,126,1780126951.8622432,Normal,none,All sensors within nominal operating range.,No action required.,0,
Zone-A,127,1780126951.86225,Normal,none,All sensors within nominal operating range.,No action required.,0,
Zone-A,128,1780126951.8622599,Normal,none,All sensors within nominal operating range.,No action required.,0,
Zone-A,129,1780126951.8622668,Normal,none,All sensors within nominal operating range.,No action required.,0,
Zone-A,130,1780126951.862274,Normal,none,All sensors within nominal operating range.,No action required.,0,
Zone-A,131,1780126951.8622808,Normal,none,All sensors within nominal operating range.,No action required.,0,
Zone-A,132,1780126951.8622878,Normal,none,All sensors within nominal operating range.,No action required.,0,
Zone-A,133,1780126951.8622952,Normal,none,All sensors within nominal operating range.,No action required.,0,
Zone-A,134,1780126951.862302,Normal,none,All sensors within nominal operating range.,No action required.,0,
Zone-A,135,1780126951.8623092,Normal,none,All sensors within nominal operating range.,No action required.,0,
Zone-A,136,1780126951.862315,Normal,none,All sensors within nominal operating range.,No action required.,0,
Zone-A,137,1780126951.8623219,Warning,zscore,Humidity anomaly,Check dehumidifier operation and possible water ingress in the zone.,1,humidity
Zone-A,138,1780126951.862331,Normal,none,All sensors within nominal operating range.,No action required.,0,
Zone-A,139,1780126951.862338,Normal,none,All sensors within nominal operating range.,No action required.,0,
Zone-A,140,1780126951.8623435,Normal,none,All sensors within nominal operating range.,No action required.,0,
Zone-A,141,1780126951.862349,Normal,none,All sensors within nominal operating range.,No action required.,0,
Zone-A,142,1780126951.862355,Normal,none,All sensors within nominal operating range.,No action required.,0,
Zone-A,143,1780126951.8623629,Normal,none,All sensors within nominal operating range.,No action required.,0,
Zone-A,144,1780126951.86237,Normal,none,All sensors within nominal operating range.,No action required.,0,
Zone-A,145,1780126951.862377,Normal,none,All sensors within nominal operating range.,No action required.,0,
Zone-A,146,1780126951.862384,Normal,none,All sensors within nominal operating range.,No action required.,0,
Zone-A,147,1780126951.862391,Normal,none,All sensors within nominal operating range.,No action required.,0,
Zone-A,148,1780126951.862398,Normal,none,All sensors within nominal operating range.,No action required.,0,
Zone-A,149,1780126951.862405,Normal,none,All sensors within nominal operating range.,No action required.,0,
Zone-A,150,1780126951.862412,Critical,hard+iforest,Occupancy spike / ventilation insufficient,Increase fresh-air intake (raise outdoor-air damper set-point) and verify supply-fan VFD command.,2,"humidity,co2"
Zone-A,151,1780126951.862421,Normal,none,All sensors within nominal operating range.,No action required.,0,
Zone-A,152,1780126951.862428,Normal,none,All sensors within nominal operating range.,No action required.,0,
Zone-A,153,1780126951.862435,Normal,none,All sensors within nominal operating range.,No action required.,0,
Zone-A,154,1780126951.862442,Warning,zscore,Elevated CO₂ — ventilation review,Raise outdoor-air damper position and verify exhaust-fan status.,1,co2
Zone-A,155,1780126951.862449,Normal,none,All sensors within nominal operating range.,No action required.,0,
Zone-A,156,1780126951.862456,Normal,none,All sensors within nominal operating range.,No action required.,0,
Zone-A,157,1780126951.862463,Normal,none,All sensors within nominal operating range.,No action required.,0,
Zone-A,158,1780126951.86247,Normal,none,All sensors within nominal operating range.,No action required.,0,
Zone-A,159,1780126951.862477,Normal,none,All sensors within nominal operating range.,No action required.,0,
Zone-A,160,1780126951.862484,Normal,none,All sensors within nominal operating range.,No action required.,0,
Zone-A,161,1780126951.862491,Normal,none,All sensors within nominal operating range.,No action required.,0,
Zone-A,162,1780126951.862498,Normal,none,All sensors within nominal operating range.,No action required.,0,
Zone-A,163,1780126951.862504,Normal,none,All sensors within nominal operating range.,No action required.,0,
Zone-A,164,1780126951.86251,Normal,none,All sensors within nominal operating range.,No action required.,0,
Zone-A,165,1780126951.8625169,Normal,none,All sensors within nominal operating range.,No action required.,0,
Zone-A,166,1780126951.8625238,Normal,none,All sensors within nominal operating range.,No action required.,0,
Zone-A,167,1780126951.8625298,Normal,none,All sensors within nominal operating range.,No action required.,0,
Zone-A,168,1780126951.862536,Normal,none,All sensors within nominal operating range.,No action required.,0,
Zone-A,169,1780126951.8625438,Normal,none,All sensors within nominal operating range.,No action required.,0,
Zone-A,170,1780126951.8625488,Normal,none,All sensors within nominal operating range.,No action required.,0,
Zone-A,171,1780126951.862554,Normal,none,All sensors within nominal operating range.,No action required.,0,
Zone-A,172,1780126951.862559,Normal,none,All sensors within nominal operating range.,No action required.,0,
Zone-A,173,1780126951.862566,Normal,none,All sensors within nominal operating range.,No action required.,0,
Zone-A,174,1780126951.862574,Normal,none,All sensors within nominal operating range.,No action required.,0,
Zone-A,175,1780126951.86258,Critical,hard,Occupancy spike / ventilation insufficient,Increase fresh-air intake (raise outdoor-air damper set-point) and verify supply-fan VFD command.,2,"humidity,co2"
Zone-A,176,1780126951.862589,Critical,hard+iforest,Heating loss or unintended ventilation,Check heating loop status and damper positions; inspect for an open door or window in the zone.,2,"temperature,humidity"
Zone-A,177,1780126951.862598,Normal,none,All sensors within nominal operating range.,No action required.,0,
Zone-A,178,1780126951.862605,Normal,none,All sensors within nominal operating range.,No action required.,0,
Zone-A,179,1780126951.862611,Warning,zscore,Unclassified anomaly,Review the listed sensor trip values and follow zone runbook.,1,power
Zone-A,180,1780126951.8626182,Normal,none,All sensors within nominal operating range.,No action required.,0,
Zone-A,181,1780126951.8626251,Normal,none,All sensors within nominal operating range.,No action required.,0,
Zone-A,182,1780126951.8626306,Normal,none,All sensors within nominal operating range.,No action required.,0,
Zone-A,183,1780126951.862636,Normal,none,All sensors within nominal operating range.,No action required.,0,
Zone-A,184,1780126951.862643,Normal,none,All sensors within nominal operating range.,No action required.,0,
Zone-A,185,1780126951.8626502,Normal,none,All sensors within nominal operating range.,No action required.,0,
Zone-A,186,1780126951.862657,Normal,none,All sensors within nominal operating range.,No action required.,0,
Zone-A,187,1780126951.862664,Normal,none,All sensors within nominal operating range.,No action required.,0,
Zone-A,188,1780126951.8626711,Normal,none,All sensors within nominal operating range.,No action required.,0,
Zone-A,189,1780126951.862678,Normal,none,All sensors within nominal operating range.,No action required.,0,
Zone-A,190,1780126951.862685,Normal,none,All sensors within nominal operating range.,No action required.,0,
Zone-A,191,1780126951.862692,Normal,none,All sensors within nominal operating range.,No action required.,0,
Zone-A,192,1780126951.8627,Normal,none,All sensors within nominal operating range.,No action required.,0,
Zone-A,193,1780126951.862707,Warning,zscore,Unclassified anomaly,Review the listed sensor trip values and follow zone runbook.,1,power
Zone-A,194,1780126951.862714,Normal,none,All sensors within nominal operating range.,No action required.,0,
Zone-A,195,1780126951.862721,Normal,none,All sensors within nominal operating range.,No action required.,0,
Zone-A,196,1780126951.8627264,Normal,none,All sensors within nominal operating range.,No action required.,0,
Zone-A,197,1780126951.862732,Normal,none,All sensors within nominal operating range.,No action required.,0,
Zone-A,198,1780126951.862741,Normal,none,All sensors within nominal operating range.,No action required.,0,
Zone-A,199,1780126951.862748,Normal,none,All sensors within nominal operating range.,No action required.,0,
Zone-B,0,1780126951.862755,Critical,hard+iforest,HVAC cooling failure,Inspect chiller and cooling tower status; verify supply-air temperature set-point; switch to backup AHU if available.,3,"temperature,humidity,co2"
Zone-B,1,1780126951.862765,Normal,none,All sensors within nominal operating range.,No action required.,0,
Zone-B,2,1780126951.862772,Critical,hard,Peak power load event,Identify the high-consumption circuit and consider load shedding non-critical equipment; verify no inrush from compressor restart.,1,power
Zone-B,3,1780126951.8627799,Normal,none,All sensors within nominal operating range.,No action required.,0,
Zone-B,4,1780126951.862787,Normal,none,All sensors within nominal operating range.,No action required.,0,
Zone-B,5,1780126951.8627925,Normal,none,All sensors within nominal operating range.,No action required.,0,
Zone-B,6,1780126951.862798,Normal,none,All sensors within nominal operating range.,No action required.,0,
Zone-B,7,1780126951.862805,Normal,none,All sensors within nominal operating range.,No action required.,0,
Zone-B,8,1780126951.8628118,Normal,none,All sensors within nominal operating range.,No action required.,0,
Zone-B,9,1780126951.862819,Normal,none,All sensors within nominal operating range.,No action required.,0,
Zone-B,10,1780126951.862828,Normal,none,All sensors within nominal operating range.,No action required.,0,
Zone-B,11,1780126951.862835,Normal,none,All sensors within nominal operating range.,No action required.,0,
Zone-B,12,1780126951.862842,Normal,none,All sensors within nominal operating range.,No action required.,0,
Zone-B,13,1780126951.862849,Normal,none,All sensors within nominal operating range.,No action required.,0,
Zone-B,14,1780126951.862856,Normal,none,All sensors within nominal operating range.,No action required.,0,
Zone-B,15,1780126951.8628614,Normal,none,All sensors within nominal operating range.,No action required.,0,
Zone-B,16,1780126951.8628669,Normal,none,All sensors within nominal operating range.,No action required.,0,
Zone-B,17,1780126951.8628724,Normal,none,All sensors within nominal operating range.,No action required.,0,
Zone-B,18,1780126951.8628778,Normal,none,All sensors within nominal operating range.,No action required.,0,
Zone-B,19,1780126951.8628836,Normal,none,All sensors within nominal operating range.,No action required.,0,
Zone-B,20,1780126951.862889,Critical,hard,Peak power load event,Identify the high-consumption circuit and consider load shedding non-critical equipment; verify no inrush from compressor restart.,1,power
Zone-B,21,1780126951.8628945,Normal,none,All sensors within nominal operating range.,No action required.,0,
Zone-B,22,1780126951.8629,Normal,none,All sensors within nominal operating range.,No action required.,0,
Zone-B,23,1780126951.862907,Normal,none,All sensors within nominal operating range.,No action required.,0,
Zone-B,24,1780126951.862914,Normal,none,All sensors within nominal operating range.,No action required.,0,
Zone-B,25,1780126951.862921,Critical,hard+iforest,HVAC cooling failure,Inspect chiller and cooling tower status; verify supply-air temperature set-point; switch to backup AHU if available.,3,"temperature,humidity,co2"
Zone-B,26,1780126951.8629298,Normal,none,All sensors within nominal operating range.,No action required.,0,
Zone-B,27,1780126951.862936,Normal,none,All sensors within nominal operating range.,No action required.,0,
Zone-B,28,1780126951.862942,Normal,none,All sensors within nominal operating range.,No action required.,0,
Zone-B,29,1780126951.8629475,Normal,none,All sensors within nominal operating range.,No action required.,0,
Zone-B,30,1780126951.862953,Normal,none,All sensors within nominal operating range.,No action required.,0,
Zone-B,31,1780126951.86296,Normal,none,All sensors within nominal operating range.,No action required.,0,
Zone-B,32,1780126951.862967,Normal,none,All sensors within nominal operating range.,No action required.,0,
Zone-B,33,1780126951.862975,Normal,none,All sensors within nominal operating range.,No action required.,0,
Zone-B,34,1780126951.8629818,Normal,none,All sensors within nominal operating range.,No action required.,0,
Zone-B,35,1780126951.862989,Normal,none,All sensors within nominal operating range.,No action required.,0,
Zone-B,36,1780126951.8629959,Normal,none,All sensors within nominal operating range.,No action required.,0,
Zone-B,37,1780126951.8630028,Normal,none,All sensors within nominal operating range.,No action required.,0,
Zone-B,38,1780126951.863009,Normal,none,All sensors within nominal operating range.,No action required.,0,
Zone-B,39,1780126951.863016,Normal,none,All sensors within nominal operating range.,No action required.,0,
Zone-B,40,1780126951.863023,Normal,none,All sensors within nominal operating range.,No action required.,0,
Zone-B,41,1780126951.86303,Normal,none,All sensors within nominal operating range.,No action required.,0,
Zone-B,42,1780126951.8630369,Normal,none,All sensors within nominal operating range.,No action required.,0,
Zone-B,43,1780126951.863044,Normal,none,All sensors within nominal operating range.,No action required.,0,
Zone-B,44,1780126951.863051,Critical,hard+iforest,Occupancy spike / ventilation insufficient,Increase fresh-air intake (raise outdoor-air damper set-point) and verify supply-fan VFD command.,2,"humidity,co2"
Zone-B,45,1780126951.863059,Normal,none,All sensors within nominal operating range.,No action required.,0,
Zone-B,46,1780126951.8630662,Normal,none,All sensors within nominal operating range.,No action required.,0,
Zone-B,47,1780126951.863073,Normal,none,All sensors within nominal operating range.,No action required.,0,
Zone-B,48,1780126951.86308,Normal,none,All sensors within nominal operating range.,No action required.,0,
Zone-B,49,1780126951.8630872,Normal,none,All sensors within nominal operating range.,No action required.,0,
Zone-B,50,1780126951.863094,Critical,hard,Peak power load event,Identify the high-consumption circuit and consider load shedding non-critical equipment; verify no inrush from compressor restart.,1,power
Zone-B,51,1780126951.863102,Normal,none,All sensors within nominal operating range.,No action required.,0,
Zone-B,52,1780126951.863111,Normal,none,All sensors within nominal operating range.,No action required.,0,
Zone-B,53,1780126951.8631182,Normal,none,All sensors within nominal operating range.,No action required.,0,
Zone-B,54,1780126951.863125,Normal,none,All sensors within nominal operating range.,No action required.,0,
Zone-B,55,1780126951.863132,Normal,none,All sensors within nominal operating range.,No action required.,0,
Zone-B,56,1780126951.8631392,Normal,none,All sensors within nominal operating range.,No action required.,0,
Zone-B,57,1780126951.863148,Normal,none,All sensors within nominal operating range.,No action required.,0,
Zone-B,58,1780126951.863155,Normal,none,All sensors within nominal operating range.,No action required.,0,
Zone-B,59,1780126951.863162,Normal,none,All sensors within nominal operating range.,No action required.,0,
Zone-B,60,1780126951.863168,Warning,zscore,Humidity anomaly,Check dehumidifier operation and possible water ingress in the zone.,1,humidity
Zone-B,61,1780126951.8631759,Normal,none,All sensors within nominal operating range.,No action required.,0,
Zone-B,62,1780126951.863183,Normal,none,All sensors within nominal operating range.,No action required.,0,
Zone-B,63,1780126951.86319,Normal,none,All sensors within nominal operating range.,No action required.,0,
Zone-B,64,1780126951.8631968,Normal,none,All sensors within nominal operating range.,No action required.,0,
Zone-B,65,1780126951.863204,Normal,none,All sensors within nominal operating range.,No action required.,0,
Zone-B,66,1780126951.863211,Normal,none,All sensors within nominal operating range.,No action required.,0,
Zone-B,67,1780126951.8632169,Normal,none,All sensors within nominal operating range.,No action required.,0,
Zone-B,68,1780126951.863224,Normal,none,All sensors within nominal operating range.,No action required.,0,
Zone-B,69,1780126951.863232,Normal,none,All sensors within nominal operating range.,No action required.,0,
Zone-B,70,1780126951.8632374,Normal,none,All sensors within nominal operating range.,No action required.,0,
Zone-B,71,1780126951.863243,Normal,none,All sensors within nominal operating range.,No action required.,0,
Zone-B,72,1780126951.86325,Normal,none,All sensors within nominal operating range.,No action required.,0,
Zone-B,73,1780126951.8632555,Normal,none,All sensors within nominal operating range.,No action required.,0,
Zone-B,74,1780126951.863261,Normal,none,All sensors within nominal operating range.,No action required.,0,
Zone-B,75,1780126951.8632681,Critical,hard+iforest,Peak power load event,Identify the high-consumption circuit and consider load shedding non-critical equipment; verify no inrush from compressor restart.,1,power
Zone-B,76,1780126951.863276,Normal,none,All sensors within nominal operating range.,No action required.,0,
Zone-B,77,1780126951.863283,Normal,none,All sensors within nominal operating range.,No action required.,0,
Zone-B,78,1780126951.8632884,Normal,none,All sensors within nominal operating range.,No action required.,0,
Zone-B,79,1780126951.863294,Normal,none,All sensors within nominal operating range.,No action required.,0,
Zone-B,80,1780126951.863301,Normal,none,All sensors within nominal operating range.,No action required.,0,
Zone-B,81,1780126951.863308,Normal,none,All sensors within nominal operating range.,No action required.,0,
Zone-B,82,1780126951.8633149,Normal,none,All sensors within nominal operating range.,No action required.,0,
Zone-B,83,1780126951.863322,Normal,none,All sensors within nominal operating range.,No action required.,0,
Zone-B,84,1780126951.863329,Normal,none,All sensors within nominal operating range.,No action required.,0,
Zone-B,85,1780126951.8633351,Normal,none,All sensors within nominal operating range.,No action required.,0,
Zone-B,86,1780126951.863341,Normal,none,All sensors within nominal operating range.,No action required.,0,
Zone-B,87,1780126951.863347,Normal,none,All sensors within nominal operating range.,No action required.,0,
Zone-B,88,1780126951.8633542,Normal,none,All sensors within nominal operating range.,No action required.,0,
Zone-B,89,1780126951.863362,Normal,none,All sensors within nominal operating range.,No action required.,0,
Zone-B,90,1780126951.863369,Normal,none,All sensors within nominal operating range.,No action required.,0,
Zone-B,91,1780126951.863376,Normal,none,All sensors within nominal operating range.,No action required.,0,
Zone-B,92,1780126951.863383,Normal,none,All sensors within nominal operating range.,No action required.,0,
